"Faj";"Csorhossz";"Fogsag";"Csorhossz_kat";"csormeret_ujramert"
"89";"vegetarianus_pinty";16.59;NA;"kicsi";"NA"
"90";"harkalypinty_fogs1";33.08;1;"kicsi";"NA"
"91";"harkalypinty_fogs5";34.5277550550943;5;"kozepes";"NA"
"92";"harkalypinty";28.26;NA;"kicsi";"29"
"93";"harkalypinty_fogs5";34.7578389862121;5;"kozepes";"NA"
"94";"nagy_foldipinty";33.52;NA;"kicsi";"NA"
"95";"vegetarianus_pinty";15.76;NA;"kicsi";"NA"
"96";"nagy_foldipinty";32;NA;"kicsi";"NA"
"97";"harkalypinty_fogs1";34.01;1;"kozepes";"NA"
"98";"harkalypinty_fogs11";38.5507980878014;11;"nagy";"NA"
"99";"harkalypinty";29.7;NA;"kicsi";"30"
"100";"harkalypinty_fogs5";34.5412652253322;5;"kozepes";"NA"
"101";"harkalypinty_fogs7";36.8091009497186;7;"kozepes";"NA"
"102";"harkalypinty_fogs11";39.0150304227945;11;"nagy";"NA"
"103";"harkalypinty";28.58;NA;"kicsi";"31"
"104";"harkalypinty_fogs11";37.8366228942719;11;"kozepes";"NA"
"105";"nagy_foldipinty";30.05;NA;"kicsi";"NA"
"106";"harkalypinty";30.46;NA;"kicsi";"28"
"107";"vegetarianus_pinty";15.66;NA;"kicsi";"NA"
"108";"harkalypinty";28.22;NA;"kicsi";"30"
"109";"harkalypinty_fogs11";38.0181929372833;11;"nagy";"NA"
"110";"harkalypinty_fogs3";34.7508317757166;3;"kozepes";"NA"
"111";"harkalypinty_fogs9";36.9526423585252;9;"kozepes";"NA"
"112";"kis_foldipinty";21.43;NA;"kicsi";"NA"
"113";"kis_foldipinty";20.51;NA;"kicsi";"NA"
"114";"harkalypinty_fogs3";33.4570599466093;3;"kicsi";"NA"
"115";"harkalypinty_fogs5";37.7009808758521;5;"kozepes";"NA"
"116";"harkalypinty";30;NA;"kicsi";"29"
"117";"hegyescsoru_foldipinty";21.56;NA;"kicsi";"NA"
"118";"harkalypinty_fogs15";38.6761315090935;15;"nagy";"NA"
"119";"harkalypinty_fogs15";38.850799082792;15;"nagy";"NA"
"120";"kis_foldipinty";21.55;NA;"kicsi";"NA"
"121";"harkalypinty";27.34;NA;"kicsi";"30"
"122";"harkalypinty_fogs1";33.14;1;"kicsi";"NA"
"123";"vegetarianus_pinty";14.72;NA;"kicsi";"NA"
"124";"harkalypinty_fogs5";35.3967365283224;5;"kozepes";"NA"
"125";"vegetarianus_pinty";16.17;NA;"kicsi";"NA"
"126";"hegyescsoru_foldipinty";24.76;NA;"kicsi";"NA"
"127";"harkalypinty_fogs7";35.2199140636833;7;"kozepes";"NA"
"128";"kis_foldipinty";22.04;NA;"kicsi";"NA"
"129";"harkalypinty_fogs7";35.7022705333695;7;"kozepes";"NA"
"130";"harkalypinty_fogs11";37.1861935186378;11;"kozepes";"NA"
"131";"harkalypinty_fogs13";37.7701660802919;13;"kozepes";"NA"
"132";"harkalypinty_fogs9";37.1451187594631;9;"kozepes";"NA"
"133";"harkalypinty_fogs11";38.5166702306149;11;"nagy";"NA"
"134";"vegetarianus_pinty";16.35;NA;"kicsi";"NA"
"135";"kis_foldipinty";22.33;NA;"kicsi";"NA"
"136";"harkalypinty_fogs3";34.7175784563623;3;"kozepes";"NA"
"137";"harkalypinty";29.72;NA;"kicsi";"29"
"138";"harkalypinty_fogs3";34.2701111769765;3;"kozepes";"NA"
"139";"hegyescsoru_foldipinty";24.18;NA;"kicsi";"NA"
"140";"kis_foldipinty";22.09;NA;"kicsi";"NA"
"141";"harkalypinty_fogs11";36.926488035269;11;"kozepes";"NA"
"142";"harkalypinty_fogs1";36.8;1;"kozepes";"NA"
"143";"hegyescsoru_foldipinty";24.59;NA;"kicsi";"NA"
"144";"harkalypinty_fogs5";35.1414208550991;5;"kozepes";"NA"
"145";"harkalypinty_fogs15";39.3756945767123;15;"nagy";"NA"
"146";"kis_foldipinty";21.66;NA;"kicsi";"NA"
"147";"harkalypinty_fogs3";35.0733019693286;3;"kozepes";"NA"
"148";"harkalypinty_fogs7";35.6051159047347;7;"kozepes";"NA"
"149";"harkalypinty_fogs13";37.1346745990222;13;"kozepes";"NA"
"150";"harkalypinty_fogs3";35.7891108847115;3;"kozepes";"NA"
"151";"harkalypinty_fogs15";39.8863461269089;15;"nagy";"NA"
"152";"harkalypinty_fogs13";38.7285186487242;13;"nagy";"NA"
"153";"harkalypinty_fogs1";33.07;1;"kicsi";"NA"
"154";"nagy_foldipinty";31.47;NA;"kicsi";"NA"
"155";"harkalypinty_fogs1";35.66;1;"kozepes";"NA"
"156";"harkalypinty_fogs11";36.7222501318631;11;"kozepes";"NA"
"157";"harkalypinty_fogs11";37.8421356556731;11;"kozepes";"NA"
"158";"hegyescsoru_foldipinty";28.21;NA;"kicsi";"NA"
"159";"vegetarianus_pinty";16.31;NA;"kicsi";"NA"
"160";"nagy_foldipinty";33.28;NA;"kicsi";"NA"
"161";"harkalypinty_fogs15";39.2063639226444;15;"nagy";"NA"
"162";"harkalypinty_fogs13";36.2052382546929;13;"kozepes";"NA"
"163";"harkalypinty_fogs1";31.82;1;"kicsi";"NA"
"164";"harkalypinty_fogs9";35.136575247457;9;"kozepes";"NA"
"165";"harkalypinty";30.15;NA;"kicsi";"30"
"166";"nagy_foldipinty";32.2;NA;"kicsi";"NA"
"167";"harkalypinty_fogs1";34.05;1;"kozepes";"NA"
"168";"harkalypinty_fogs11";39.5808432815337;11;"nagy";"NA"
"169";"harkalypinty_fogs3";33.9057591866903;3;"kicsi";"NA"
"170";"harkalypinty_fogs7";36.0011610829965;7;"kozepes";"NA"
"171";"harkalypinty_fogs13";38.5356787416054;13;"nagy";"NA"
"172";"kis_foldipinty";24.3;NA;"kicsi";"NA"
"173";"hegyescsoru_foldipinty";20.9;NA;"kicsi";"NA"
"174";"nagy_foldipinty";33.7;NA;"kicsi";"NA"
"175";"harkalypinty";28.73;NA;"kicsi";"29"
"176";"harkalypinty_fogs13";38.1312082491355;13;"nagy";"NA"
"177";"harkalypinty_fogs7";35.0579533495507;7;"kozepes";"NA"
"178";"harkalypinty";28.97;NA;"kicsi";"30"
"179";"harkalypinty_fogs7";34.06706373166;7;"kozepes";"NA"
"180";"harkalypinty_fogs3";35.5220992162184;3;"kozepes";"NA"
"181";"harkalypinty_fogs7";35.5922892675401;7;"kozepes";"NA"
"182";"harkalypinty_fogs15";40.5296241591126;15;"nagy";"NA"
"183";"harkalypinty_fogs5";35.6080657186175;5;"kozepes";"NA"
"184";"kis_foldipinty";22.73;NA;"kicsi";"NA"
"185";"kis_foldipinty";24.86;NA;"kicsi";"NA"
"186";"nagy_foldipinty";32.48;NA;"kicsi";"NA"
"187";"harkalypinty_fogs11";39.5372424501618;11;"nagy";"NA"
"188";"harkalypinty_fogs11";37.9939840201272;11;"kozepes";"NA"
"189";"hegyescsoru_foldipinty";25.77;NA;"kicsi";"NA"
"190";"hegyescsoru_foldipinty";26.25;NA;"kicsi";"NA"
"191";"harkalypinty_fogs3";35.777335593094;3;"kozepes";"NA"
"192";"vegetarianus_pinty";15.75;NA;"kicsi";"NA"
"193";"hegyescsoru_foldipinty";23.8;NA;"kicsi";"NA"
"194";"harkalypinty_fogs9";38.7259731010927;9;"nagy";"NA"
"195";"kis_foldipinty";23.83;NA;"kicsi";"NA"
"196";"nagy_foldipinty";32.31;NA;"kicsi";"NA"
"197";"kis_foldipinty";24.61;NA;"kicsi";"NA"
"198";"harkalypinty_fogs3";33.8254708546244;3;"kicsi";"NA"
"199";"harkalypinty_fogs7";36.9142746535303;7;"kozepes";"NA"
"200";"harkalypinty_fogs9";38.8869740855047;9;"nagy";"NA"
"201";"harkalypinty_fogs9";38.6318709853438;9;"nagy";"NA"
"202";"hegyescsoru_foldipinty";26.5;NA;"kicsi";"NA"
"203";"harkalypinty_fogs5";34.8223167064751;5;"kozepes";"NA"
"204";"harkalypinty_fogs13";37.7006939983768;13;"kozepes";"NA"
"205";"harkalypinty_fogs7";35.1764898368092;7;"kozepes";"NA"
"206";"harkalypinty_fogs15";39.1476849223232;15;"nagy";"NA"
"207";"nagy_foldipinty";31.8;NA;"kicsi";"NA"
"208";"vegetarianus_pinty";16.08;NA;"kicsi";"NA"
"209";"harkalypinty";29.05;NA;"kicsi";"29"
"210";"kis_foldipinty";20.48;NA;"kicsi";"NA"
"211";"harkalypinty_fogs11";37.2665532185632;11;"kozepes";"NA"
"212";"harkalypinty_fogs1";32.19;1;"kicsi";"NA"
"213";"nagy_foldipinty";30;NA;"kicsi";"NA"
"214";"kis_foldipinty";24.61;NA;"kicsi";"NA"
"215";"harkalypinty_fogs13";40.0659720333709;13;"nagy";"NA"
"216";"harkalypinty_fogs9";35.4162167372355;9;"kozepes";"NA"
"217";"harkalypinty";29.58;NA;"kicsi";"29"
"218";"hegyescsoru_foldipinty";23.39;NA;"kicsi";"NA"
"219";"harkalypinty_fogs1";32.68;1;"kicsi";"NA"
"220";"harkalypinty_fogs13";39.6859739290039;13;"nagy";"NA"
"221";"hegyescsoru_foldipinty";21.45;NA;"kicsi";"NA"
"222";"harkalypinty_fogs1";34.75;1;"kozepes";"NA"
"223";"harkalypinty_fogs7";34.9446317267968;7;"kozepes";"NA"
"224";"harkalypinty_fogs15";38.4155348564619;15;"nagy";"NA"
"225";"vegetarianus_pinty";15.31;NA;"kicsi";"NA"
"226";"harkalypinty";30.53;NA;"kicsi";"31"
"227";"hegyescsoru_foldipinty";25.97;NA;"kicsi";"NA"
"228";"harkalypinty_fogs11";37.9506296974413;11;"kozepes";"NA"
"229";"harkalypinty_fogs13";38.8898706619965;13;"nagy";"NA"
"230";"harkalypinty_fogs3";34.8793119849421;3;"kozepes";"NA"
"231";"kis_foldipinty";24.6;NA;"kicsi";"NA"
"232";"kis_foldipinty";19.5;NA;"kicsi";"NA"
"233";"nagy_foldipinty";32.18;NA;"kicsi";"NA"
"234";"nagy_foldipinty";29.61;NA;"kicsi";"NA"
"235";"harkalypinty_fogs1";34.53;1;"kozepes";"NA"
"236";"harkalypinty_fogs1";34.35;1;"kozepes";"NA"
"237";"harkalypinty_fogs5";34.9429364736825;5;"kozepes";"NA"
"238";"harkalypinty_fogs1";35.61;1;"kozepes";"NA"
"239";"harkalypinty_fogs15";38.9591934633223;15;"nagy";"NA"
"240";"nagy_foldipinty";30.97;NA;"kicsi";"NA"
"241";"harkalypinty_fogs7";37.2245488600628;7;"kozepes";"NA"
"242";"harkalypinty_fogs1";33.18;1;"kicsi";"NA"
"243";"harkalypinty_fogs15";39.5028613995232;15;"nagy";"NA"
"244";"nagy_foldipinty";34.06;NA;"kozepes";"NA"
"245";"harkalypinty_fogs9";37.27698563297;9;"kozepes";"NA"
"246";"kis_foldipinty";27.62;NA;"kicsi";"NA"
"247";"nagy_foldipinty";32.04;NA;"kicsi";"NA"
"248";"harkalypinty_fogs11";37.1936636202993;11;"kozepes";"NA"
"249";"nagy_foldipinty";28.67;NA;"kicsi";"NA"
"250";"harkalypinty_fogs1";35.08;1;"kozepes";"NA"
"251";"harkalypinty_fogs9";37.0027638042473;9;"kozepes";"NA"
"252";"harkalypinty_fogs11";36.7560191414464;11;"kozepes";"NA"
"253";"kis_foldipinty";18.73;NA;"kicsi";"NA"
"254";"nagy_foldipinty";32.01;NA;"kicsi";"NA"
"255";"harkalypinty_fogs3";35.538872980762;3;"kozepes";"NA"
"256";"harkalypinty";28.72;NA;"kicsi";"30"
"257";"harkalypinty_fogs7";33.9336570416408;7;"kicsi";"NA"
"258";"harkalypinty_fogs7";35.4902010858926;7;"kozepes";"NA"
"259";"harkalypinty_fogs1";34.36;1;"kozepes";"NA"
"260";"harkalypinty_fogs13";38.9073963938996;13;"nagy";"NA"
"261";"harkalypinty";28.88;NA;"kicsi";"30"
"262";"harkalypinty_fogs9";38.6086095814978;9;"nagy";"NA"
"263";"harkalypinty_fogs3";34.6619450305375;3;"kozepes";"NA"
"264";"harkalypinty_fogs9";38.3107669165261;9;"nagy";"NA"
"265";"harkalypinty_fogs13";36.4370898163343;13;"kozepes";"NA"
"266";"harkalypinty_fogs7";33.1387161935327;7;"kicsi";"NA"
"267";"nagy_foldipinty";33.54;NA;"kicsi";"NA"
"268";"harkalypinty_fogs9";37.9626959022771;9;"kozepes";"NA"
"269";"nagy_foldipinty";32;NA;"kicsi";"NA"
"270";"harkalypinty_fogs15";38.6364240235149;15;"nagy";"NA"
"271";"harkalypinty_fogs15";39.5033340981316;15;"nagy";"NA"
"272";"harkalypinty_fogs1";34.59;1;"kozepes";"NA"
"273";"harkalypinty_fogs11";39.4054790645225;11;"nagy";"NA"
"274";"kis_foldipinty";25.39;NA;"kicsi";"NA"
"275";"harkalypinty_fogs5";37.3082491867426;5;"kozepes";"NA"
"276";"vegetarianus_pinty";16.42;NA;"kicsi";"NA"
"277";"harkalypinty_fogs3";32.4624683112335;3;"kicsi";"NA"
"278";"harkalypinty_fogs7";34.1643463176709;7;"kozepes";"NA"
"279";"vegetarianus_pinty";16.53;NA;"kicsi";"NA"
"280";"kis_foldipinty";20.78;NA;"kicsi";"NA"
"281";"harkalypinty_fogs3";36.1291281334159;3;"kozepes";"NA"
"282";"harkalypinty_fogs5";35.8266889019705;5;"kozepes";"NA"
"283";"hegyescsoru_foldipinty";24.89;NA;"kicsi";"NA"
"284";"harkalypinty_fogs13";36.9533803732641;13;"kozepes";"NA"
"285";"hegyescsoru_foldipinty";23.98;NA;"kicsi";"NA"
"286";"harkalypinty_fogs15";38.1653742110672;15;"nagy";"NA"
"287";"harkalypinty_fogs11";37.0100768077645;11;"kozepes";"NA"
"288";"hegyescsoru_foldipinty";22.79;NA;"kicsi";"NA"
"289";"harkalypinty_fogs5";39.0816000001238;5;"nagy";"NA"
"290";"harkalypinty_fogs1";34.39;1;"kozepes";"NA"
"291";"harkalypinty_fogs3";34.3900941284994;3;"kozepes";"NA"
"292";"harkalypinty";27.15;NA;"kicsi";"29"
"293";"harkalypinty_fogs15";39.546274193376;15;"nagy";"NA"
"294";"nagy_foldipinty";32.2;NA;"kicsi";"NA"
"295";"harkalypinty_fogs13";38.4499756777225;13;"nagy";"NA"
"296";"harkalypinty_fogs11";37.9861770674231;11;"kozepes";"NA"
"297";"kis_foldipinty";26.39;NA;"kicsi";"NA"
"298";"harkalypinty_fogs15";41.8134058907717;15;"nagy";"NA"
"299";"harkalypinty_fogs7";35.3266369674126;7;"kozepes";"NA"
"300";"hegyescsoru_foldipinty";25.13;NA;"kicsi";"NA"
"301";"harkalypinty";28.96;NA;"kicsi";"31"
"302";"harkalypinty_fogs13";36.9624504098432;13;"kozepes";"NA"
"303";"harkalypinty_fogs9";38.8203824127812;9;"nagy";"NA"
"304";"hegyescsoru_foldipinty";22.9;NA;"kicsi";"NA"
"305";"harkalypinty_fogs15";39.407081526599;15;"nagy";"NA"
"306";"harkalypinty_fogs9";38.1206102941977;9;"nagy";"NA"
"307";"harkalypinty_fogs7";34.2966800904643;7;"kozepes";"NA"
"308";"harkalypinty_fogs11";37.8806176031506;11;"kozepes";"NA"
"309";"harkalypinty_fogs15";38.2415333581749;15;"nagy";"NA"
"310";"kis_foldipinty";20.66;NA;"kicsi";"NA"
"311";"harkalypinty_fogs5";32.959225784314;5;"kicsi";"NA"
"312";"kis_foldipinty";18.46;NA;"kicsi";"NA"
"313";"harkalypinty_fogs11";37.6517476901;11;"kozepes";"NA"
"314";"harkalypinty_fogs15";38.6515638513285;15;"nagy";"NA"
"315";"harkalypinty_fogs1";33.96;1;"kicsi";"NA"
"316";"vegetarianus_pinty";15.93;NA;"kicsi";"NA"
"317";"harkalypinty_fogs15";38.9244881029665;15;"nagy";"NA"
"318";"harkalypinty_fogs1";33.35;1;"kicsi";"NA"
"319";"harkalypinty_fogs1";34.56;1;"kozepes";"NA"
"320";"hegyescsoru_foldipinty";23.72;NA;"kicsi";"NA"
"321";"harkalypinty_fogs13";38.510277946557;13;"nagy";"NA"
"322";"harkalypinty_fogs13";37.0068668705796;13;"kozepes";"NA"
"323";"vegetarianus_pinty";16.23;NA;"kicsi";"NA"
"324";"harkalypinty_fogs13";37.2129562584111;13;"kozepes";"NA"
"325";"harkalypinty";27.81;NA;"kicsi";"30"
"326";"harkalypinty";27.31;NA;"kicsi";"30"
"327";"harkalypinty_fogs15";37.8590154300145;15;"kozepes";"NA"
"328";"harkalypinty_fogs9";33.8099839954778;9;"kicsi";"NA"
"329";"harkalypinty_fogs5";35.1156990087634;5;"kozepes";"NA"
"330";"kis_foldipinty";25.04;NA;"kicsi";"NA"
"331";"hegyescsoru_foldipinty";22.27;NA;"kicsi";"NA"
"332";"kis_foldipinty";21.88;NA;"kicsi";"NA"
"333";"hegyescsoru_foldipinty";25.36;NA;"kicsi";"NA"
"334";"harkalypinty_fogs3";34.2736509113703;3;"kozepes";"NA"
"335";"harkalypinty_fogs13";38.573450127902;13;"nagy";"NA"
"336";"harkalypinty_fogs13";39.6467927063294;13;"nagy";"NA"
"337";"harkalypinty_fogs1";33.48;1;"kicsi";"NA"
"338";"harkalypinty_fogs9";35.128508523268;9;"kozepes";"NA"
"339";"hegyescsoru_foldipinty";24.46;NA;"kicsi";"NA"
"340";"vegetarianus_pinty";14.97;NA;"kicsi";"NA"
"341";"vegetarianus_pinty";16.09;NA;"kicsi";"NA"
"342";"harkalypinty_fogs1";34.51;1;"kozepes";"NA"
"343";"harkalypinty_fogs1";33.87;1;"kicsi";"NA"
"344";"nagy_foldipinty";31.78;NA;"kicsi";"NA"
"345";"harkalypinty_fogs13";38.0874192137513;13;"nagy";"NA"
"346";"nagy_foldipinty";31.6;NA;"kicsi";"NA"
"347";"vegetarianus_pinty";15.83;NA;"kicsi";"NA"
"348";"harkalypinty";27.83;NA;"kicsi";"30"
"349";"vegetarianus_pinty";15.45;NA;"kicsi";"NA"
"350";"vegetarianus_pinty";15.97;NA;"kicsi";"NA"
"351";"harkalypinty_fogs5";35.4175833876118;5;"kozepes";"NA"
"352";"harkalypinty_fogs13";38.9870517799818;13;"nagy";"NA"
"353";"harkalypinty_fogs5";35.3578529409446;5;"kozepes";"NA"
"354";"harkalypinty_fogs3";34.6699887841971;3;"kozepes";"NA"
"355";"hegyescsoru_foldipinty";22.93;NA;"kicsi";"NA"
"356";"hegyescsoru_foldipinty";22.68;NA;"kicsi";"NA"
"357";"hegyescsoru_foldipinty";24.49;NA;"kicsi";"NA"
"358";"harkalypinty_fogs9";39.6263939737649;9;"nagy";"NA"
"359";"harkalypinty_fogs7";35.7190759999872;7;"kozepes";"NA"
"360";"harkalypinty_fogs5";36.8214998977209;5;"kozepes";"NA"
"361";"hegyescsoru_foldipinty";26.93;NA;"kicsi";"NA"
"362";"harkalypinty_fogs3";32.2077786879375;3;"kicsi";"NA"
"363";"harkalypinty_fogs11";37.7368616359775;11;"kozepes";"NA"
"364";"kis_foldipinty";21.46;NA;"kicsi";"NA"
"365";"harkalypinty_fogs5";32.7669388259842;5;"kicsi";"NA"
"366";"harkalypinty_fogs15";38.1840642888813;15;"nagy";"NA"
"367";"harkalypinty_fogs13";36.5797019876729;13;"kozepes";"NA"
"368";"hegyescsoru_foldipinty";25.03;NA;"kicsi";"NA"
"369";"vegetarianus_pinty";15.75;NA;"kicsi";"NA"
"370";"harkalypinty_fogs7";37.9414881931222;7;"kozepes";"NA"
"371";"harkalypinty_fogs1";34.54;1;"kozepes";"NA"
"372";"harkalypinty_fogs11";39.4444675758596;11;"nagy";"NA"
"373";"hegyescsoru_foldipinty";24.21;NA;"kicsi";"NA"
"374";"harkalypinty_fogs15";39.799299104029;15;"nagy";"NA"
"375";"harkalypinty";30.79;NA;"kicsi";"31"
"376";"vegetarianus_pinty";15.07;NA;"kicsi";"NA"
"377";"harkalypinty_fogs1";33.28;1;"kicsi";"NA"
"378";"harkalypinty_fogs15";37.2277448859614;15;"kozepes";"NA"
"379";"harkalypinty_fogs15";40.1482638992867;15;"nagy";"NA"
"380";"harkalypinty";31.92;NA;"kicsi";"29"
"381";"nagy_foldipinty";31.49;NA;"kicsi";"NA"
"382";"harkalypinty_fogs3";34.2278369890068;3;"kozepes";"NA"
"383";"harkalypinty_fogs9";37.625890865442;9;"kozepes";"NA"
"384";"harkalypinty";28.51;NA;"kicsi";"29"
"385";"harkalypinty_fogs15";38.2474080149845;15;"nagy";"NA"
"386";"harkalypinty_fogs15";40.3305667809887;15;"nagy";"NA"
"387";"kis_foldipinty";20.64;NA;"kicsi";"NA"
"388";"harkalypinty_fogs5";33.3410717365395;5;"kicsi";"NA"
"389";"harkalypinty_fogs3";34.2963476317667;3;"kozepes";"NA"
"390";"harkalypinty_fogs1";33.22;1;"kicsi";"NA"
"391";"kis_foldipinty";21.5;NA;"kicsi";"NA"
"392";"harkalypinty_fogs15";37.8466770706388;15;"kozepes";"NA"
"393";"kis_foldipinty";18.1;NA;"kicsi";"NA"
"394";"harkalypinty_fogs13";38.78946834289;13;"nagy";"NA"
"395";"harkalypinty_fogs7";35.6831076363599;7;"kozepes";"NA"
"396";"nagy_foldipinty";30.28;NA;"kicsi";"NA"
"397";"harkalypinty_fogs7";36.1541459494728;7;"kozepes";"NA"
"398";"hegyescsoru_foldipinty";24.17;NA;"kicsi";"NA"
"399";"harkalypinty_fogs13";39.6084376581155;13;"nagy";"NA"
"400";"harkalypinty";26.6;NA;"kicsi";"28"
"401";"harkalypinty_fogs7";34.6928645416455;7;"kozepes";"NA"
"402";"harkalypinty_fogs15";39.5867565085079;15;"nagy";"NA"
"403";"kis_foldipinty";17.59;NA;"kicsi";"NA"
